dataset,model,label,metric,baseline,finetuned,delta,low,high,bootstrap_unit,n_rows
pathway,ligandmpnn_v_32_005_25,005,recovery,55.423804967233856,58.523583282813895,2.8357481789192303,2.23525150175434,3.66328919943388,cluster,3356
pathway,ligandmpnn_v_32_005_25,005,pocket_recovery,51.08471305593271,63.71716003412578,10.026174790590236,5.51409790390564,15.7879438815481,cluster,2064
pathway,ligandmpnn_v_32_010_25,010,recovery,53.89166659940838,57.30897091716872,2.9632103990333962,2.4021516741845503,3.52437625410112,cluster,3356
pathway,ligandmpnn_v_32_010_25,010,pocket_recovery,48.948300459111735,68.26170093334191,12.242804445827131,6.05215857190514,17.971972550488168,cluster,2064
pathway,ligandmpnn_v_32_020_25,020,recovery,51.27315234909419,54.52666901700262,2.739478213607993,2.07758240043142,3.34874410058061,cluster,3356
pathway,ligandmpnn_v_32_020_25,020,pocket_recovery,48.72912864431796,65.94566059195333,11.869090428411633,5.89564401500441,17.49676969846879,cluster,2064
pathway,ligandmpnn_v_32_030_25,030,recovery,49.09216545101878,52.394795521685275,2.64776119385427,2.06882065027977,3.2173964915257,cluster,3356
pathway,ligandmpnn_v_32_030_25,030,pocket_recovery,43.71544390312788,65.42889581432503,13.169449729610228,7.353586840611199,20.43931802190583,cluster,2064
original_test,ligandmpnn_v_32_005_25,005,recovery,58.876408915671085,58.818972691026325,-0.05743622464477333,-0.32158772907559,0.2057443086117,row,315
original_test,ligandmpnn_v_32_005_25,005,pocket_recovery,65.6628620839942,65.83581806965245,0.1729559856582433,-0.55564591655067,0.8461895739376301,row,309
original_test,ligandmpnn_v_32_010_25,010,recovery,57.58520267627857,57.45231422797713,-0.1328884483014433,-0.32458358742888,0.02869905200269,row,315
original_test,ligandmpnn_v_32_010_25,010,pocket_recovery,64.28500806758062,63.88497989315303,-0.4000281744275833,-1.29429435484038,0.33953277026468004,row,309
original_test,ligandmpnn_v_32_020_25,020,recovery,54.50714456025886,54.32192863926054,-0.18521592099830336,-0.38477588811564,0.03817407384751,row,315
original_test,ligandmpnn_v_32_020_25,020,pocket_recovery,62.70151930783817,62.04696134006063,-0.6545579677775167,-1.521628460452,0.21755985602206,row,309
original_test,ligandmpnn_v_32_030_25,030,recovery,52.14842216993766,51.88280684607369,-0.26561532386395664,-0.43006689775557,-0.11076849864588,row,315
original_test,ligandmpnn_v_32_030_25,030,pocket_recovery,59.89161852461877,59.32223431629399,-0.5693842083247868,-1.76859171970666,0.63096818800497,row,309
